AT1G70700,AT3G20770
AT4G21380,AT4G01010
AT5G40780,AT4G01010
AT2G32700,AT5G22880
AT4G14560,AT4G05320
AT4G20380,AT4G35090
AT5G03240,AT3G13110
AT4G16110,AT3G16360
AT3G28920,AT5G65410
AT5G04850,AT4G29160
AT5G59670,AT4G30850
AT4G39900,AT5G22290
AT1G52890,AT1G77450
AT1G18880,AT4G30850
AT1G44960,AT3G17000
AT4G22920,AT5G13800
AT1G69270,AT4G01010
AT1G50460,AT3G12580
AT3G11397,AT5G22290
AT3G27170,AT4G37680
AT5G03240,AT4G02080
AT2G23430,AT1G15570
AT5G22950,AT4G16144
AT3G59700,AT5G63030
AT1G49200,AT4G37680
AT1G30260,AT5G13810
AT4G00355,AT4G16520
AT1G44960,AT1G29060
AT4G30660,AT2G41705
AT5G03240,AT2G25450
AT1G34420,AT3G19895
AT3G17840,AT4G30850
AT2G01680,AT4G37680
AT5G03240,AT3G15520
AT1G55160,AT4G25660
AT3G53420,AT2G02040
AT4G11220,AT2G04350
AT5G60450,AT1G04240
AT3G46060,AT4G25660
AT1G51790,AT3G46370
AT2G28000,AT1G55490
AT5G03240,AT1G10940
AT5G03240,AT2G26080
AT5G05760,AT2G18020
AT1G62290,AT1G19700
AT5G03240,AT3G54470
AT3G16830,AT5G06960
AT4G22240,AT4G04020
AT1G10690,AT3G48750
AT4G17730,AT5G62360
AT1G11210,AT1G21240
AT4G17730,AT1G56280
AT1G55910,AT4G35580
AT4G35580,AT4G39900
AT5G20230,AT4G37680
AT2G17880,AT3G49580
AT3G18140,AT4G14560
AT4G31840,AT4G37680
AT1G08890,AT4G37680
AT5G03240,AT5G10860
AT2G28350,AT5G60450
AT5G47120,AT5G48810
AT1G48920,AT5G06150
AT2G43510,AT5G22290
AT5G03240,AT4G34230
AT4G04020,AT3G48750
AT1G52200,AT2G20570
AT5G03240,AT2G47710
AT1G18080,AT1G09590
AT4G19700,AT5G42980
AT5G39730,AT1G76185
AT3G49580,AT5G11090
AT4G34460,AT5G16840
AT1G65800,AT3G07360
AT1G45145,AT2G29090
AT2G33380,AT5G01820
AT3G47640,AT5G65495
AT4G14716,AT4G21960
AT1G65820,AT5G22290
AT1G75410,AT1G19700
AT5G03240,AT5G53160
AT3G50060,AT5G53160
AT5G03240,AT5G05760
AT1G20880,AT1G31750
AT5G59030,AT3G46900
AT5G37020,AT1G04100
AT1G49720,AT4G34000
AT5G60890,AT4G17880
AT2G35710,AT1G45145
AT1G19700,AT5G41410
AT1G44960,AT4G37680
AT1G01010,AT1G16240
AT3G02150,AT5G38430
AT1G22985,AT3G16360
AT1G32870,AT1G32230
AT5G39760,AT5G65410
AT2G19650,AT2G34720
AT1G27300,AT3G13520
AT3G53420,AT4G23400
AT5G60670,AT5G03240
AT4G36850,AT3G17000
AT3G20060,AT5G03240
AT4G35580,AT5G43460
AT4G36180,AT2G41705
AT2G20570,AT4G14900
AT1G75100,AT2G41090
AT3G08730,AT3G08850
AT5G03240,AT2G33150
AT1G71130,AT4G27950
AT1G65800,AT3G54850
AT1G62200,AT3G48890
AT1G28230,AT4G35580
AT5G42440,AT2G41705
AT5G03240,AT3G28300
AT5G01820,AT2G39050
AT4G11960,AT2G05620
AT3G01670,AT5G51570
AT1G22985,AT1G71130
AT4G20270,AT4G39400
AT5G43460,AT1G29060
AT1G05070,AT4G35580
AT5G03240,AT3G07100
AT5G41410,AT4G18830
AT5G42370,AT3G52070
AT3G61890,AT4G16670
AT1G30860,AT3G24740
AT2G41090,AT4G13020
AT1G50480,AT5G42980
AT1G17970,AT3G13672
AT3G56950,AT5G48810
AT1G44960,AT1G45145
AT3G47620,AT4G04800
AT1G14340,AT5G16840
AT3G45860,AT5G46330
AT5G03240,AT5G63680
AT5G05760,AT3G48930
AT1G13990,AT4G22240
AT4G18390,AT1G35560
AT3G61890,AT5G54470
AT4G19700,AT5G61010
AT2G41090,AT4G30960
AT4G36850,AT2G41705
AT4G00550,AT5G22290
AT1G52890,AT4G23050
AT5G16130,AT5G03240
AT3G29270,AT5G19875
AT5G27350,AT5G35460
AT5G03240,AT5G16570
AT1G22500,AT3G45290
AT1G18080,AT5G59320
AT3G14020,AT5G47640
AT5G64170,AT1G01060
AT3G49010,AT5G03240
AT3G19100,AT5G61010
AT1G31750,AT5G45350
AT4G22200,AT5G57050
AT5G03240,AT1G43850
AT3G29034,AT5G16530
AT4G27610,AT2G01680
AT5G03240,AT4G16760
AT4G24990,AT3G08690
AT2G32160,AT3G02150
AT5G13840,AT3G48750
AT2G20570,AT4G23470
AT5G03240,AT1G12280
AT3G15500,AT1G76180
AT1G16240,AT5G22290
AT1G08890,AT1G79940
AT1G34420,AT4G16780
AT4G01720,AT1G32230
AT5G03240,AT5G57050
AT3G17840,AT3G17000
AT5G03240,AT5G54960
AT3G04730,AT1G04100
AT2G25520,AT4G19370
AT3G47620,AT4G04020
AT5G03240,AT4G01480
AT3G04840,AT5G03240
AT4G31840,AT1G76185
AT2G41090,AT4G23810
AT5G59700,AT1G29060
AT3G25900,AT4G16110
AT4G13510,AT1G29060
AT5G03240,AT2G42010
AT5G13220,AT5G46760
AT3G14230,AT1G10070
AT2G24290,AT4G26450
AT5G64170,AT3G09600
AT1G07430,AT4G30960
AT3G07360,AT4G21380
AT5G03240,AT2G35840
AT3G20770,AT5G46760
AT1G62290,AT1G62990
AT5G63610,AT4G34160
AT5G16000,AT2G34480
AT3G54290,AT5G23310
AT5G03240,AT2G38020
AT3G47620,AT4G38460
AT1G16240,AT1G26670
AT1G74950,AT1G72450
AT5G11090,AT4G31920
AT1G08560,AT1G27400
AT3G21690,AT2G02040
AT1G18080,AT5G38430
AT5G03240,AT3G14840
AT1G62880,AT5G22290
AT3G11410,AT4G30960
AT1G17080,AT1G27300
AT3G03000,AT4G10930
AT5G03240,AT1G50010
AT5G03240,AT3G23810
AT5G03240,AT1G48630
AT5G02620,AT1G21240
AT5G03240,AT2G13820
AT1G16890,AT4G23450
AT3G27960,AT4G26910
AT4G37220,AT5G63030
AT5G03240,AT1G74940
AT3G02150,AT4G16780
AT3G07540,AT1G29060
AT1G74950,AT5G46760
AT4G02570,AT4G08980
AT5G20900,AT1G74950
AT4G26080,AT1G10940
AT2G47600,AT4G04860
AT1G80440,AT2G37040
AT2G39450,AT3G63200
AT1G34420,AT2G45660
AT3G29270,AT2G41705
AT1G16890,AT5G03240
AT1G70700,AT3G27960
AT2G04030,AT5G03240
AT3G15880,AT5G62000
AT4G34460,AT1G27530
AT1G29800,AT2G05630
AT1G70300,AT4G27610
AT1G72370,AT5G03240
AT5G37020,AT4G14560
AT1G62040,AT4G24690
AT3G13950,AT4G30850
AT1G04100,AT3G07420
AT4G18390,AT5G24470
AT4G23400,AT2G41705
AT1G04960,AT5G35460
AT5G48360,AT2G41705
AT3G29270,AT4G24990
AT5G65410,AT2G18350
AT1G75410,AT1G11910
AT1G32230,AT3G16770
AT5G41410,AT1G11910
AT5G03240,AT5G20830
AT5G03240,AT4G23850
AT3G02150,AT4G16760
AT1G34420,AT4G01480
AT1G71190,AT3G48890
AT1G48790,AT1G15130
AT1G07010,AT4G17030
AT5G03240,AT1G12200
AT1G14340,AT1G67860
AT4G02060,AT2G40550
AT1G08560,AT2G18020
AT2G43700,AT4G30850
AT5G03240,AT3G06860
AT1G08230,AT5G58060
AT1G74950,AT5G13220
AT2G21185,AT4G35580
AT5G46330,AT1G29060
AT3G24740,AT3G43230
AT4G30850,AT5G16530
AT3G52850,AT1G29060
AT3G20770,AT4G17880
AT4G36180,AT4G30850
AT1G62200,AT3G17000
AT3G47620,AT5G16320
AT2G36026,AT1G62990
AT5G37020,AT4G32280
AT1G44100,AT2G43570
AT2G34720,AT4G19700
AT1G22750,AT5G63030
AT5G03240,AT2G43150
AT5G03240,AT5G38220
AT3G47620,AT4G35770
AT3G28920,AT5G39760
AT1G01140,AT3G53900
AT2G31440,AT3G29270
AT5G03240,AT2G16850
AT4G34460,AT4G24510
AT5G03240,AT5G53330
AT3G18130,AT1G68410
AT2G01620,AT4G02570
AT1G02280,AT1G06950
AT1G52890,AT5G01820
AT1G19450,AT5G22290
AT5G42370,AT4G30850
AT1G79940,AT4G01010
AT1G34750,AT1G04960
AT2G17200,AT5G23820
AT5G17420,AT4G18780
AT2G16400,AT1G62990
AT5G47080,AT1G02340
AT5G18010,AT3G51370
AT1G18080,AT5G53300
AT1G03430,AT3G48100
AT2G16440,AT2G40550
AT3G54820,AT4G23400
AT1G77710,AT2G25000
AT3G07540,AT2G41705
AT1G49200,AT2G41705
AT5G20935,AT1G74880
AT5G03240,AT1G72680
AT5G57050,AT1G10940
AT2G46550,AT4G16520
AT2G05630,AT2G46550
AT3G60240,AT1G72730
AT1G27300,AT2G43510
AT5G25900,AT3G05120
AT3G18490,AT5G42980
AT3G61890,AT5G01820
AT1G65310,AT3G44990
AT2G47600,AT3G29270
AT3G09085,AT4G35580
AT5G03240,AT4G17170
AT2G26975,AT4G35580
AT5G48360,AT4G27610
AT1G27300,AT5G43460
AT1G71190,AT4G30850
AT3G25520,AT5G03240
AT2G35940,AT1G11910
AT5G03240,AT4G34200
AT1G05710,AT3G47620
AT5G20900,AT4G17880
AT2G41100,AT4G23810
AT2G35710,AT2G47600
AT3G55990,AT5G43460
AT5G20900,AT5G13220
AT3G19100,AT2G29550
AT5G03240,AT4G24510
AT3G29034,AT4G26450
AT1G44800,AT5G22290
AT4G17880,AT1G25540
AT5G42370,AT1G76185
AT3G01670,AT5G54190
AT3G54820,AT5G22290
AT1G04960,AT3G54300
AT5G23400,AT3G13670
AT4G31840,AT2G41705
AT1G44960,AT3G52070
AT1G71190,AT3G17000
AT4G34460,AT4G14040
AT5G35330,AT5G66750
AT4G02060,AT5G44635
AT3G29270,AT4G37680
AT5G03240,AT1G06700
AT5G18260,AT5G61010
AT4G30660,AT1G45145
AT4G34460,AT4G35580
AT1G69640,AT1G29060
AT1G44100,AT4G19370
AT4G04860,AT4G37680
AT1G57540,AT3G19820
AT3G56950,AT4G30850
AT5G16970,AT1G15570
AT5G03240,AT1G31230
AT5G63030,AT3G11810
AT5G27150,AT3G03000
AT1G17745,AT4G34200
AT4G34460,AT5G05760
AT1G09180,AT1G14340
AT5G03240,AT1G17140
AT5G46410,AT5G01820
AT1G05560,AT1G05570
AT5G02870,AT5G03240
AT1G14440,AT5G65410
AT3G29270,AT4G30850
AT3G56090,AT5G01820
AT3G13520,AT5G22290
AT5G03240,AT2G05840
AT4G18100,AT5G03240
AT1G55910,AT5G22290
AT2G35940,AT4G18830
AT5G64560,AT4G30850
AT3G26000,AT4G02570
AT5G03240,AT3G14930
AT4G08300,AT3G48890
AT1G45145,AT1G11210
AT2G05520,AT1G21240
AT5G03240,AT4G34890
AT4G35580,AT5G63850
AT3G14840,AT4G20270
AT4G25660,AT5G45130
AT1G11210,AT5G47220
AT2G35940,AT1G19700
AT4G26080,AT5G53160
AT1G15570,AT1G76540
AT1G35560,AT5G23280
AT5G03240,AT4G02520
AT4G27040,AT5G04920
AT4G34460,AT5G22290
AT5G53450,AT2G41090
AT3G19100,AT2G41705
AT5G22290,AT5G60460
AT4G02570,AT4G02740
AT1G64230,AT5G03240
AT1G19670,AT1G57990
AT4G15420,AT5G03240
AT1G69640,AT3G17000
AT1G65790,AT3G07360
AT3G60640,AT2G02040
AT5G42980,AT5G45100
AT4G23400,AT5G15500
AT5G13220,AT3G43440
AT3G16830,AT1G13260
AT3G45290,AT2G41705
AT1G62290,AT4G36870
AT1G76150,AT2G42790
AT1G30270,AT5G57050
AT3G29270,AT4G13345
AT3G55740,AT4G37680
AT2G02760,AT5G03240
AT3G19290,AT3G50500
AT5G03240,AT5G29000
AT4G02520,AT2G02040
AT3G01670,AT5G41350
AT5G53160,AT3G11410
AT5G03240,AT3G05970
AT1G20880,AT3G14100
AT4G24990,AT5G53300
AT3G29034,AT4G37220
AT1G04240,AT4G05320
AT5G03240,AT2G01490
AT3G43440,AT5G46760
AT4G21650,AT3G46900
AT1G48630,AT5G41990
AT3G18130,AT4G34460
AT1G57540,AT3G21690
AT1G54040,AT4G23810
AT3G54140,AT1G21240
AT3G19820,AT1G18880
AT4G17730,AT2G21620
AT5G11060,AT2G16400
AT4G18240,AT4G22240
AT4G14716,AT2G06850
AT1G71050,AT3G29270
AT3G58120,AT1G43700
AT5G03240,AT3G02230
AT3G52850,AT5G60360
AT5G03240,AT3G27170
AT4G01840,AT5G58060
AT4G31330,AT4G30850
AT3G44220,AT5G22290
AT2G33250,AT4G37680
AT5G03240,AT5G58060
AT5G03240,AT3G16240
AT1G77000,AT4G02570
AT5G03240,AT2G42790
AT1G67860,AT4G00780
AT5G58140,AT1G14280
AT1G80300,AT2G41705
AT2G44100,AT4G35580
AT1G75630,AT5G22290
AT1G79270,AT2G20570
AT5G03240,AT2G05990
AT1G01010,AT1G75630
AT5G03240,AT4G14040
AT4G20270,AT5G46330
AT1G69870,AT4G37680
AT4G14400,AT5G46330
AT4G31840,AT4G30850
AT3G27210,AT3G17840
AT3G15880,AT5G42530
AT3G01660,AT5G22290
AT4G20300,AT4G26450
AT3G50910,AT5G51560
AT3G11397,AT3G29270
AT2G18350,AT5G39760
AT2G17290,AT5G42370
AT2G41090,AT4G23170
AT5G03240,AT2G25110
AT1G70300,AT1G29060
AT5G01820,AT1G77450
AT5G22290,AT5G43460
AT3G45290,AT1G21240
AT5G03240,AT3G26450
AT1G18880,AT1G29060
AT1G26910,AT5G03240
AT3G48740,AT4G15920
AT4G14716,AT4G34460
AT3G47620,AT4G30750
AT4G17730,AT2G23090
AT4G13530,AT1G29060
AT5G42980,AT5G60360
AT3G13950,AT3G48890
AT4G11320,AT4G35580
AT1G18880,AT1G21240
AT1G55920,AT3G13110
AT1G27300,AT3G63200
AT1G27300,AT5G05760
AT3G54140,AT2G41705
AT5G43760,AT1G45145
AT2G41100,AT4G08980
AT4G34000,AT4G26080
AT3G47620,AT5G18260
AT4G17730,AT5G20230
AT4G35580,AT5G44550
AT1G03950,AT5G42370
AT4G17730,AT4G14710
AT5G11060,AT1G62990
AT1G44100,AT5G63030
AT5G27150,AT1G19450
AT3G17000,AT4G13510
AT5G03240,AT1G63310
